CONAME,STREET,CITY,STATE_NAME,ZIP,NAICS,SIC,EMPNUM,SALESVOL,DESC_,LATITUDE,LONGITUDE
Clara Love Elementary,Elementary Dr,Justin,Texas,76247,61111007,821103,59,0.00000000000,"Clara Love Elementary, Elementary Dr, Justin, Texas, 76247",33.03820000000,-97.32330000000
Northwest Independent School,Elementary Dr,Justin,Texas,76247,61111007,821103,22,0.00000000000,"Northwest Independent School, Elementary Dr, Justin, Texas, 76247",33.03820000000,-97.32330000000
Northwest High School,Texan Dr,Justin,Texas,76247,61111007,821103,100,0.00000000000,"Northwest High School, Texan Dr, Justin, Texas, 76247",33.02520000000,-97.31290000000
Metroplex Chapel Academy,E Airport Fwy,Euless,Texas,76039,61111004,821101,24,0.00000000000,"Metroplex Chapel Academy, E Airport Fwy, Euless, Texas, 76039",32.83760000000,-97.06900000000
National High School Ptg Assn,Trinity Blvd,Fort Worth,Texas,76118,61111007,821103,45,0.00000000000,"National High School Ptg Assn, Trinity Blvd, Fort Worth, Texas, 76118",32.79790000000,-97.21540000000
Lowery Road Elementary School,Lowery Rd,Fort Worth,Texas,76120,61111007,821103,80,0.00000000000,"Lowery Road Elementary School, Lowery Rd, Fort Worth, Texas, 76120",32.77210000000,-97.18860000000
Ccc Academy,John T White Rd,Fort Worth,Texas,76120,61111007,821103,21,0.00000000000,"Ccc Academy, John T White Rd, Fort Worth, Texas, 76120",32.76940000000,-97.15620000000
River Trails Elementary School,Elbe Trl,Fort Worth,Texas,76118,61111007,821103,65,0.00000000000,"River Trails Elementary School, Elbe Trl, Fort Worth, Texas, 76118",32.79770000000,-97.18690000000
Al-hedayah Academy Inc,Randol Mill Rd,Fort Worth,Texas,76120,61111007,821103,20,0.00000000000,"Al-hedayah Academy Inc, Randol Mill Rd, Fort Worth, Texas, 76120",32.76840000000,-97.16850000000
Smokin Guns Llc,Creede Trl,Fort Worth,Texas,76118,61111007,821103,13,0.00000000000,"Smokin Guns Llc, Creede Trl, Fort Worth, Texas, 76118",32.79610000000,-97.19050000000
Chisholm Ridge Elementary,Running River Ln,Fort Worth,Texas,76131,61111007,821103,75,0.00000000000,"Chisholm Ridge Elementary, Running River Ln, Fort Worth, Texas, 76131",32.88940000000,-97.34120000000
Basswood Elementary School,Clay Mountain Trl,Fort Worth,Texas,76137,61111007,821103,50,0.00000000000,"Basswood Elementary School, Clay Mountain Trl, Fort Worth, Texas, 76137",32.87080000000,-97.31150000000
North Riverside Elementary,N Riverside Dr,Fort Worth,Texas,76137,61111007,821103,80,0.00000000000,"North Riverside Elementary, N Riverside Dr, Fort Worth, Texas, 76137",32.88140000000,-97.30690000000
Northbrook Elementary School,Cantrell Sansom Rd,Fort Worth,Texas,76131,61111007,821103,80,0.00000000000,"Northbrook Elementary School, Cantrell Sansom Rd, Fort Worth, Texas, 76131",32.84680000000,-97.32460000000
Scuba Diving Sch of Fort Worth,Southwest Blvd,Fort Worth,Texas,76116,61111007,821103,4,0.00000000000,"Scuba Diving Sch of Fort Worth, Southwest Blvd, Fort Worth, Texas, 76116",32.71660000000,-97.44200000000
Miss Endy's Christian Academy,Humbert Ave,Fort Worth,Texas,76107,61111007,821103,6,0.00000000000,"Miss Endy's Christian Academy, Humbert Ave, Fort Worth, Texas, 76107",32.71860000000,-97.41160000000
Miss Endy's Christian Day Schl,Humbert Ave,Fort Worth,Texas,76107,61111004,821101,5,0.00000000000,"Miss Endy's Christian Day Schl, Humbert Ave, Fort Worth, Texas, 76107",32.71860000000,-97.41190000000
Richard Milburn Academy,Camp Bowie Blvd,Fort Worth,Texas,76116,61111007,821103,16,0.00000000000,"Richard Milburn Academy, Camp Bowie Blvd, Fort Worth, Texas, 76116",32.72010000000,-97.43450000000
Fort Worth Isd,Cumberland Rd,Fort Worth,Texas,76116,61111007,821103,70,0.00000000000,"Fort Worth Isd, Cumberland Rd, Fort Worth, Texas, 76116",32.70450000000,-97.42760000000
Como Montessori,Littlepage St,Fort Worth,Texas,76107,61111007,821103,50,0.00000000000,"Como Montessori, Littlepage St, Fort Worth, Texas, 76107",32.72120000000,-97.41070000000
Montessori Childrens House,Clayton Rd E,Fort Worth,Texas,76116,61111007,821103,10,0.00000000000,"Montessori Childrens House, Clayton Rd E, Fort Worth, Texas, 76116",32.72250000000,-97.42730000000
Ridglea Hills Elementary Schl,Cumberland Rd,Fort Worth,Texas,76116,61111007,821103,80,0.00000000000,"Ridglea Hills Elementary Schl, Cumberland Rd, Fort Worth, Texas, 76116",32.70450000000,-97.42760000000
Western Hills Elementary Schl,Laredo Dr,Fort Worth,Texas,76116,61111007,821103,50,0.00000000000,"Western Hills Elementary Schl, Laredo Dr, Fort Worth, Texas, 76116",32.73500000000,-97.46230000000
Western Hills Primary School,Mojave Trl,Fort Worth,Texas,76116,61111007,821103,90,0.00000000000,"Western Hills Primary School, Mojave Trl, Fort Worth, Texas, 76116",32.73470000000,-97.45870000000
Willoughby House,W Elizabeth Ln,Fort Worth,Texas,76116,61111007,821103,15,0.00000000000,"Willoughby House, W Elizabeth Ln, Fort Worth, Texas, 76116",32.72510000000,-97.45550000000
Mary Louise Phillips Elem Schl,Bigham Blvd,Benbrook,Texas,76116,61111007,821103,72,0.00000000000,"Mary Louise Phillips Elem Schl, Bigham Blvd, Benbrook, Texas, 76116",32.73140000000,-97.42740000000
Holy Family Catholic School,Pershing Ave,Fort Worth,Texas,76107,61111007,821103,25,0.00000000000,"Holy Family Catholic School, Pershing Ave, Fort Worth, Texas, 76107",32.73670000000,-97.41690000000
William Monnig Middle School,Bigham Blvd,Fort Worth,Texas,76116,61111007,821103,80,0.00000000000,"William Monnig Middle School, Bigham Blvd, Fort Worth, Texas, 76116",32.72960000000,-97.42810000000
Premier High School,Camp Bowie Blvd,Fort Worth,Texas,76116,61111007,821103,12,0.00000000000,"Premier High School, Camp Bowie Blvd, Fort Worth, Texas, 76116",32.72450000000,-97.42300000000
Spanish Schoolhouse,Sunset Dr,Fort Worth,Texas,76116,61111001,821104,2,0.00000000000,"Spanish Schoolhouse, Sunset Dr, Fort Worth, Texas, 76116",32.72650000000,-97.41660000000
St Andrew Catholic School,Dryden Rd,Fort Worth,Texas,76109,61111007,821103,55,0.00000000000,"St Andrew Catholic School, Dryden Rd, Fort Worth, Texas, 76109",32.69490000000,-97.36330000000
Lady Margaret Roper School,Lubbock Ave,Fort Worth,Texas,76109,61111007,821103,5,0.00000000000,"Lady Margaret Roper School, Lubbock Ave, Fort Worth, Texas, 76109",32.70730000000,-97.35660000000
Fort Worth Academy of Fine Art,S Hulen St,Fort Worth,Texas,76109,61111007,821103,45,0.00000000000,"Fort Worth Academy of Fine Art, S Hulen St, Fort Worth, Texas, 76109",32.69100000000,-97.39320000000
Mc Lean Middle School,Stadium Dr,Fort Worth,Texas,76109,61111007,821103,80,0.00000000000,"Mc Lean Middle School, Stadium Dr, Fort Worth, Texas, 76109",32.69330000000,-97.36640000000
Fort Worth Isd,W Cantey St,Fort Worth,Texas,76109,61111007,821103,22,0.00000000000,"Fort Worth Isd, W Cantey St, Fort Worth, Texas, 76109",32.71260000000,-97.36460000000
Fort Worth Independent Sch Dst,Stadium Dr,Fort Worth,Texas,76109,61111007,821103,13,0.00000000000,"Fort Worth Independent Sch Dst, Stadium Dr, Fort Worth, Texas, 76109",32.69330000000,-97.36640000000
Tanglewood Elementary School,Overton Park Dr W,Fort Worth,Texas,76109,61111007,821103,59,0.00000000000,"Tanglewood Elementary School, Overton Park Dr W, Fort Worth, Texas, 76109",32.69950000000,-97.38270000000
Joe Kelly Multi Grade Level,Overton Park Dr W,Fort Worth,Texas,76109,61111007,821103,60,0.00000000000,"Joe Kelly Multi Grade Level, Overton Park Dr W, Fort Worth, Texas, 76109",32.70560000000,-97.38630000000
North Tx Elementary Sch,S Hulen St,Fort Worth,Texas,76109,61111007,821103,55,0.00000000000,"North Tx Elementary Sch, S Hulen St, Fort Worth, Texas, 76109",32.69100000000,-97.39320000000
Mba Graduate Career Svc Ctr,Lubbock,Fort Worth,Texas,76129,61111007,821103,5,0.00000000000,"Mba Graduate Career Svc Ctr, Lubbock, Fort Worth, Texas, 76129",32.70960000000,-97.36050000000
Fort Worth Independent Sch,South Hills Ave,Benbrook,Texas,76109,61111007,821103,13,0.00000000000,"Fort Worth Independent Sch, South Hills Ave, Benbrook, Texas, 76109",32.69580000000,-97.36400000000
Como Elementary School,Horne St,Fort Worth,Texas,76107,61111007,821103,65,0.00000000000,"Como Elementary School, Horne St, Fort Worth, Texas, 76107",32.72120000000,-97.40900000000
Alice Carlson Applied Learning,W Cantey St,Fort Worth,Texas,76109,61111007,821103,35,0.00000000000,"Alice Carlson Applied Learning, W Cantey St, Fort Worth, Texas, 76109",32.71260000000,-97.36460000000
Fort Worth Country Day School,Country Day Ln,Fort Worth,Texas,76109,61111013,821109,230,0.00000000000,"Fort Worth Country Day School, Country Day Ln, Fort Worth, Texas, 76109",32.69300000000,-97.40840000000
Weekday School,S University Dr,Fort Worth,Texas,76109,61111007,821103,13,0.00000000000,"Weekday School, S University Dr, Fort Worth, Texas, 76109",32.71240000000,-97.36110000000
Texas Boys Choir Inc,S Hulen St,Fort Worth,Texas,76109,61111007,821103,45,0.00000000000,"Texas Boys Choir Inc, S Hulen St, Fort Worth, Texas, 76109",32.69100000000,-97.39320000000
Starpoint School,Stadium Dr,Fort Worth,Texas,76109,61111007,821103,15,0.00000000000,"Starpoint School, Stadium Dr, Fort Worth, Texas, 76109",32.71210000000,-97.36550000000
Reading Friends,Pershing Ave,Fort Worth,Texas,76107,61111007,821103,14,0.00000000000,"Reading Friends, Pershing Ave, Fort Worth, Texas, 76107",32.73590000000,-97.39950000000
Fort Worth Isd,West Fwy,Fort Worth,Texas,76107,61111007,821103,22,0.00000000000,"Fort Worth Isd, West Fwy, Fort Worth, Texas, 76107",32.73080000000,-97.38590000000
Transition Center,El Campo Ave,Fort Worth,Texas,76107,61111007,821103,36,0.00000000000,"Transition Center, El Campo Ave, Fort Worth, Texas, 76107",32.73730000000,-97.39610000000
Arlington Heights High School,West Fwy,Fort Worth,Texas,76107,61111007,821103,200,0.00000000000,"Arlington Heights High School, West Fwy, Fort Worth, Texas, 76107",32.73080000000,-97.38590000000
Boulevard Heights School,El Campo Ave,Fort Worth,Texas,76107,61111007,821103,52,0.00000000000,"Boulevard Heights School, El Campo Ave, Fort Worth, Texas, 76107",32.73730000000,-97.39610000000
South Hi Mt Elementary School,Birchman Ave,Fort Worth,Texas,76107,61111007,821103,65,0.00000000000,"South Hi Mt Elementary School, Birchman Ave, Fort Worth, Texas, 76107",32.73400000000,-97.37950000000
Texas Academy-biomedical Scncs,Valentine St,Fort Worth,Texas,76107,61111007,821103,13,0.00000000000,"Texas Academy-biomedical Scncs, Valentine St, Fort Worth, Texas, 76107",32.73180000000,-97.37310000000
Stripling Middle School P T a,Clover Ln,Fort Worth,Texas,76107,61111007,821103,100,0.00000000000,"Stripling Middle School P T a, Clover Ln, Fort Worth, Texas, 76107",32.73800000000,-97.37920000000
North Hi Mt Elementary School,W 7th St,Fort Worth,Texas,76107,61111007,821103,45,0.00000000000,"North Hi Mt Elementary School, W 7th St, Fort Worth, Texas, 76107",32.75120000000,-97.37420000000
Museum School,Montgomery St,Fort Worth,Texas,76107,61111007,821103,13,0.00000000000,"Museum School, Montgomery St, Fort Worth, Texas, 76107",32.74470000000,-97.37000000000
North High Mt Child Care,W 7th St,Fort Worth,Texas,76107,61111007,821103,13,0.00000000000,"North High Mt Child Care, W 7th St, Fort Worth, Texas, 76107",32.75120000000,-97.37420000000
Marine Creek Elementary School,Huffines Blvd,Fort Worth,Texas,76135,61111007,821103,100,0.00000000000,"Marine Creek Elementary School, Huffines Blvd, Fort Worth, Texas, 76135",32.82490000000,-97.40960000000
Casino Beach Golf Academy,Jacksboro Hwy,Fort Worth,Texas,76135,61111007,821103,13,0.00000000000,"Casino Beach Golf Academy, Jacksboro Hwy, Fort Worth, Texas, 76135",32.82280000000,-97.45410000000
Texas Elementary Schl-the Arts,Village Pkwy,Fort Worth,Texas,76134,61111007,821103,55,0.00000000000,"Texas Elementary Schl-the Arts, Village Pkwy, Fort Worth, Texas, 76134",32.64880000000,-97.33470000000
Texas School of the Arts,Village Pkwy,Fort Worth,Texas,76134,61111007,821103,32,0.00000000000,"Texas School of the Arts, Village Pkwy, Fort Worth, Texas, 76134",32.64880000000,-97.33470000000
Pinnacle Academy of Fine Arts,James Ave,Fort Worth,Texas,76115,61111007,821103,20,0.00000000000,"Pinnacle Academy of Fine Arts, James Ave, Fort Worth, Texas, 76115",32.67280000000,-97.34570000000
Christian Life Preparatory,South Fwy,Fort Worth,Texas,76134,61111007,821103,35,0.00000000000,"Christian Life Preparatory, South Fwy, Fort Worth, Texas, 76134",32.65790000000,-97.32250000000
Seminary Hills Elementary Schl,Townsend Dr,Fort Worth,Texas,76115,61111007,821103,65,0.00000000000,"Seminary Hills Elementary Schl, Townsend Dr, Fort Worth, Texas, 76115",32.67200000000,-97.34730000000
Rosemont Elementary School,W Seminary Dr,Fort Worth,Texas,76115,61111007,821103,60,0.00000000000,"Rosemont Elementary School, W Seminary Dr, Fort Worth, Texas, 76115",32.68470000000,-97.34040000000
Carter Park Elementary School,E Broadus Ave,Fort Worth,Texas,76115,61111007,821103,65,0.00000000000,"Carter Park Elementary School, E Broadus Ave, Fort Worth, Texas, 76115",32.68350000000,-97.31280000000
Rosemont Middle School,W Seminary Dr,Fort Worth,Texas,76115,61111007,821103,100,0.00000000000,"Rosemont Middle School, W Seminary Dr, Fort Worth, Texas, 76115",32.68370000000,-97.34270000000
Hubbard Elementary School,W Spurgeon St,Fort Worth,Texas,76115,61111007,821103,98,0.00000000000,"Hubbard Elementary School, W Spurgeon St, Fort Worth, Texas, 76115",32.67840000000,-97.33970000000
Campus Drive United Methodist,E Seminary Dr,Fort Worth,Texas,76115,61111004,821101,6,0.00000000000,"Campus Drive United Methodist, E Seminary Dr, Fort Worth, Texas, 76115",32.68370000000,-97.30730000000
Cityview Academy,Merida Ave,Fort Worth,Texas,76115,61111007,821103,22,0.00000000000,"Cityview Academy, Merida Ave, Fort Worth, Texas, 76115",32.67630000000,-97.35560000000
Greenbriar Elementary School,Grady Lee St,Fort Worth,Texas,76134,61111007,821103,100,0.00000000000,"Greenbriar Elementary School, Grady Lee St, Fort Worth, Texas, 76134",32.66310000000,-97.34440000000
School of Renewal Inc,Odell Dr,Fort Worth,Texas,76115,61111007,821103,13,0.00000000000,"School of Renewal Inc, Odell Dr, Fort Worth, Texas, 76115",32.66710000000,-97.34720000000
Convergence School,James Ave,Fort Worth,Texas,76134,61111007,821103,13,0.00000000000,"Convergence School, James Ave, Fort Worth, Texas, 76134",32.66180000000,-97.34410000000
W M Green Elementary School,David Strickland Rd,Fort Worth,Texas,76119,61111007,821103,84,0.00000000000,"W M Green Elementary School, David Strickland Rd, Fort Worth, Texas, 76119",32.68160000000,-97.25490000000
Clifford Davis Elementary Schl,Campus Dr,Fort Worth,Texas,76119,61111007,821103,55,0.00000000000,"Clifford Davis Elementary Schl, Campus Dr, Fort Worth, Texas, 76119",32.68670000000,-97.29580000000
Forest Oak Middle School,Pecos St,Fort Worth,Texas,76119,61111007,821103,80,0.00000000000,"Forest Oak Middle School, Pecos St, Fort Worth, Texas, 76119",32.68850000000,-97.27800000000
O D Wyatt High School,E Seminary Dr,Fort Worth,Texas,76119,61111007,821103,168,0.00000000000,"O D Wyatt High School, E Seminary Dr, Fort Worth, Texas, 76119",32.68270000000,-97.29430000000
M G Ellis Primary School,Ne 14th St,Fort Worth,Texas,76164,61111007,821103,11,0.00000000000,"M G Ellis Primary School, Ne 14th St, Fort Worth, Texas, 76164",32.78020000000,-97.34710000000
Forth,Denver Ave,Fort Worth,Texas,76164,61111007,821103,40,0.00000000000,"Forth, Denver Ave, Fort Worth, Texas, 76164",32.77410000000,-97.35430000000
Metro Opportunity High School,Cullen St,Fort Worth,Texas,76107,61111007,821103,50,0.00000000000,"Metro Opportunity High School, Cullen St, Fort Worth, Texas, 76107",32.76220000000,-97.35570000000
Rufino Mendoza Elementary Schl,Denver Ave,Fort Worth,Texas,76164,61111007,821103,24,0.00000000000,"Rufino Mendoza Elementary Schl, Denver Ave, Fort Worth, Texas, 76164",32.77410000000,-97.35430000000
Three Three One Zero School,E Bluff St,Fort Worth,Texas,76102,61111007,821103,13,0.00000000000,"Three Three One Zero School, E Bluff St, Fort Worth, Texas, 76102",32.76090000000,-97.32930000000
Charles E Nash Elementary Schl,Samuels Ave,Fort Worth,Texas,76102,61111007,821103,40,0.00000000000,"Charles E Nash Elementary Schl, Samuels Ave, Fort Worth, Texas, 76102",32.76230000000,-97.32980000000
Oakhurst Elementary School,Yucca Ave,Fort Worth,Texas,76111,61111007,821103,70,0.00000000000,"Oakhurst Elementary School, Yucca Ave, Fort Worth, Texas, 76111",32.78040000000,-97.30680000000
Calvary Christian Academy,Oakhurst Scenic Dr,Fort Worth,Texas,76111,61111004,821101,15,0.00000000000,"Calvary Christian Academy, Oakhurst Scenic Dr, Fort Worth, Texas, 76111",32.78220000000,-97.31950000000
Versia L Williams Elementary,Baurline St,Fort Worth,Texas,76111,61111007,821103,60,0.00000000000,"Versia L Williams Elementary, Baurline St, Fort Worth, Texas, 76111",32.75820000000,-97.30530000000
H V Helbing Elementary School,N Crump St,Fort Worth,Texas,76106,61111007,821103,73,0.00000000000,"H V Helbing Elementary School, N Crump St, Fort Worth, Texas, 76106",32.80770000000,-97.34230000000
Cesar Chavez Primary School,Deen Rd,Fort Worth,Texas,76106,61111007,821103,60,0.00000000000,"Cesar Chavez Primary School, Deen Rd, Fort Worth, Texas, 76106",32.81040000000,-97.32570000000
Diamond Hill-jarvis High Schl,Maydell St,Fort Worth,Texas,76106,61111007,821103,90,0.00000000000,"Diamond Hill-jarvis High Schl, Maydell St, Fort Worth, Texas, 76106",32.80840000000,-97.33670000000
W a Meacham Middle School,Weber St,Fort Worth,Texas,76106,61111007,821103,80,0.00000000000,"W a Meacham Middle School, Weber St, Fort Worth, Texas, 76106",32.80940000000,-97.33340000000
M H Moore Elementary School,Ne 36th St,Fort Worth,Texas,76106,61111007,821103,45,0.00000000000,"M H Moore Elementary School, Ne 36th St, Fort Worth, Texas, 76106",32.81120000000,-97.33330000000
Diamond Hill Elementary School,Dewey St,Fort Worth,Texas,76106,61111007,821103,90,0.00000000000,"Diamond Hill Elementary School, Dewey St, Fort Worth, Texas, 76106",32.79860000000,-97.33120000000
Nolan Catholic High School,Bridge St,Fort Worth,Texas,76103,61111007,821103,120,0.00000000000,"Nolan Catholic High School, Bridge St, Fort Worth, Texas, 76103",32.76130000000,-97.25660000000
St George School,Hudgins Ave,Fort Worth,Texas,76111,61111004,821101,18,0.00000000000,"St George School, Hudgins Ave, Fort Worth, Texas, 76111",32.77480000000,-97.29780000000
Fort Worth Isd,Yucca Ave,Fort Worth,Texas,76111,61111007,821103,22,0.00000000000,"Fort Worth Isd, Yucca Ave, Fort Worth, Texas, 76111",32.78100000000,-97.29880000000
Carter Amon-riverside High,Yucca Ave,Fort Worth,Texas,76111,61111007,821103,145,0.00000000000,"Carter Amon-riverside High, Yucca Ave, Fort Worth, Texas, 76111",32.78100000000,-97.29880000000
Our Mother-mercy Catholic Schl,E Terrell Ave,Fort Worth,Texas,76104,61111007,821103,12,0.00000000000,"Our Mother-mercy Catholic Schl, E Terrell Ave, Fort Worth, Texas, 76104",32.73580000000,-97.31460000000
Carroll Peak Elementary School,E Jefferson Ave,Fort Worth,Texas,76104,61111007,821103,60,0.00000000000,"Carroll Peak Elementary School, E Jefferson Ave, Fort Worth, Texas, 76104",32.72490000000,-97.31110000000
Young Womens Leadership Acad,E 8th St,Fort Worth,Texas,76102,61111007,821103,13,0.00000000000,"Young Womens Leadership Acad, E 8th St, Fort Worth, Texas, 76102",32.75360000000,-97.32720000000
Guinn Van Zandt Elementary,Missouri Ave,Fort Worth,Texas,76104,61111007,821103,55,0.00000000000,"Guinn Van Zandt Elementary, Missouri Ave, Fort Worth, Texas, 76104",32.73870000000,-97.31840000000
I M Terrell Elementary School,I M Terrell Cir S,Fort Worth,Texas,76102,61111007,821103,40,0.00000000000,"I M Terrell Elementary School, I M Terrell Cir S, Fort Worth, Texas, 76102",32.74890000000,-97.31450000000
Ekklesia Christian School,Bessie St,Fort Worth,Texas,76104,61111007,821103,4,0.00000000000,"Ekklesia Christian School, Bessie St, Fort Worth, Texas, 76104",32.74010000000,-97.31210000000
Fortress Church,Stella St,Fort Worth,Texas,76104,61111004,821101,6,0.00000000000,"Fortress Church, Stella St, Fort Worth, Texas, 76104",32.74040000000,-97.31940000000
Christine C Moss Elementary,Eastland St,Fort Worth,Texas,76119,61111007,821103,62,0.00000000000,"Christine C Moss Elementary, Eastland St, Fort Worth, Texas, 76119",32.70700000000,-97.26510000000
A M Pate Elementary School,Anglin Dr,Fort Worth,Texas,76119,61111007,821103,70,0.00000000000,"A M Pate Elementary School, Anglin Dr, Fort Worth, Texas, 76119",32.70730000000,-97.25200000000
Autumn Leaves Estate Sales,Fairlane Ave,Fort Worth,Texas,76119,61111007,821103,13,0.00000000000,"Autumn Leaves Estate Sales, Fairlane Ave, Fort Worth, Texas, 76119",32.69330000000,-97.25660000000
Glencrest 6th Grade School,Eastline Dr,Fort Worth,Texas,76119,61111007,821103,55,0.00000000000,"Glencrest 6th Grade School, Eastline Dr, Fort Worth, Texas, 76119",32.69310000000,-97.29080000000
T a Sims Elementary School,Crenshaw Ave,Fort Worth,Texas,76105,61111007,821103,85,0.00000000000,"T a Sims Elementary School, Crenshaw Ave, Fort Worth, Texas, 76105",32.71830000000,-97.27480000000
Mitchell Boulevard Elementary,Mitchell Blvd,Fort Worth,Texas,76105,61111007,821103,60,0.00000000000,"Mitchell Boulevard Elementary, Mitchell Blvd, Fort Worth, Texas, 76105",32.70960000000,-97.28800000000
Glen Park Elementary School,Pecos St,Fort Worth,Texas,76119,61111007,821103,80,0.00000000000,"Glen Park Elementary School, Pecos St, Fort Worth, Texas, 76119",32.68920000000,-97.27080000000
Oaklawn Elementary School,Hardeman St,Fort Worth,Texas,76119,61111007,821103,60,0.00000000000,"Oaklawn Elementary School, Hardeman St, Fort Worth, Texas, 76119",32.70210000000,-97.27890000000
Masonic Elementary School,Wichita St,Fort Worth,Texas,76119,61111007,821103,31,0.00000000000,"Masonic Elementary School, Wichita St, Fort Worth, Texas, 76119",32.70880000000,-97.28400000000
Learning As the Bible Speaks,E Berry St,Fort Worth,Texas,76105,61111004,821101,15,0.00000000000,"Learning As the Bible Speaks, E Berry St, Fort Worth, Texas, 76105",32.71380000000,-97.27400000000
Fort Worth State School,S Riverside Dr,Fort Worth,Texas,76119,61111012,821106,2,0.00000000000,"Fort Worth State School, S Riverside Dr, Fort Worth, Texas, 76119",32.69180000000,-97.30200000000
Meadowbrook Elementary School,Meadowbrook Dr,Fort Worth,Texas,76103,61111007,821103,85,0.00000000000,"Meadowbrook Elementary School, Meadowbrook Dr, Fort Worth, Texas, 76103",32.74460000000,-97.25930000000
S S Dillow Elementary School,Avenue N,Fort Worth,Texas,76105,61111007,821103,60,0.00000000000,"S S Dillow Elementary School, Avenue N, Fort Worth, Texas, 76105",32.72330000000,-97.26620000000
William James Middle School,Nashville Ave,Fort Worth,Texas,76105,61111007,821103,100,0.00000000000,"William James Middle School, Nashville Ave, Fort Worth, Texas, 76105",32.73410000000,-97.28430000000
Fort Worth Isd,Conner Ave,Fort Worth,Texas,76105,61111007,821103,22,0.00000000000,"Fort Worth Isd, Conner Ave, Fort Worth, Texas, 76105",32.73310000000,-97.28860000000
Uplift Education Mighty Prep,S Beach St,Fort Worth,Texas,76105,61111007,821103,15,0.00000000000,"Uplift Education Mighty Prep, S Beach St, Fort Worth, Texas, 76105",32.72650000000,-97.28880000000
Meadowbrook Middle School,Ederville Rd S,Fort Worth,Texas,76103,61111007,821103,80,0.00000000000,"Meadowbrook Middle School, Ederville Rd S, Fort Worth, Texas, 76103",32.74690000000,-97.26050000000
D Mc Rae Elementary School,Avenue N,Fort Worth,Texas,76105,61111007,821103,101,0.00000000000,"D Mc Rae Elementary School, Avenue N, Fort Worth, Texas, 76105",32.72350000000,-97.27780000000
Polytechnic Senior High School,Conner Ave,Fort Worth,Texas,76105,61111007,821103,130,0.00000000000,"Polytechnic Senior High School, Conner Ave, Fort Worth, Texas, 76105",32.73310000000,-97.28860000000
Itop Christian Academy,E Lancaster Ave,Fort Worth,Texas,76103,61111004,821101,7,0.00000000000,"Itop Christian Academy, E Lancaster Ave, Fort Worth, Texas, 76103",32.74510000000,-97.29850000000
East Fort Worth Montessori Acd,,Fort Worth,Texas,76103,61111007,821103,13,0.00000000000,"East Fort Worth Montessori Acd,  , Fort Worth, Texas, 76103",32.75140000000,-97.25840000000
Uplift Mighty Preparatory,Mighty Mite Dr,Fort Worth,Texas,76105,61111007,821103,15,0.00000000000,"Uplift Mighty Preparatory, Mighty Mite Dr, Fort Worth, Texas, 76105",32.73260000000,-97.26540000000
